iter	RMSE
0	0.4847548256
1	0.4728430497
2	0.4616638296
3	0.4504981037
4	0.4392632883
5	0.4296369832
6	0.4206358585
7	0.4127617486
8	0.4049908471
9	0.3971157054
10	0.3893532828
11	0.3822203031
12	0.3772776979
13	0.3729558752
14	0.3666597509
15	0.3616923651
16	0.3566381593
17	0.3511188574
18	0.3464696903
19	0.3420038898
20	0.337748226
21	0.3343403324
22	0.3302133699
23	0.3275793534
24	0.325750602
25	0.3218819781
26	0.3184962917
27	0.3154557627
28	0.3121303909
29	0.310023049
30	0.3072632105
31	0.3058486233
32	0.3032786591
33	0.3023683214
34	0.2998808482
35	0.2987245322
36	0.2973123218
37	0.2953047539
38	0.2937056131
39	0.291885228
40	0.2900719045
41	0.2882901986
42	0.2865865025
43	0.2847318959
44	0.2828589378
45	0.281399821
46	0.2802272514
47	0.278561168
48	0.2767182354
49	0.274839269
50	0.2734826986
51	0.2720605107
52	0.2707841801
53	0.2694520294
54	0.267780343
55	0.2661688967
56	0.2657691728
57	0.2645176972
58	0.2633373236
59	0.2619961307
60	0.2613396988
61	0.2600940115
62	0.2588668065
63	0.2579523188
64	0.2575953127
65	0.2568378972
66	0.255763349
67	0.2547328527
68	0.2536435946
69	0.2531493184
70	0.2529706256
71	0.2516643418
72	0.2507324108
73	0.2497064134
74	0.2488162209
75	0.248278974
76	0.2475224363
77	0.2464550632
78	0.2458288923
79	0.2450100129
80	0.2444428164
81	0.2434254872
82	0.2430174641
83	0.2422069866
84	0.241625573
85	0.2409102549
86	0.2400522948
87	0.2393074745
88	0.238648481
89	0.2381640618
90	0.2373955228
91	0.2367814289
92	0.2360417031
93	0.2353804072
94	0.2347592434
95	0.2341348518
96	0.2334846383
97	0.2330688672
98	0.2326354517
99	0.2321393261
100	0.231700122
101	0.2309547572
102	0.2300826381
103	0.2299304961
104	0.2296382503
105	0.2289952017
106	0.2278801027
107	0.2271920557
108	0.2267450866
109	0.2263998966
110	0.2258274124
111	0.2254486645
112	0.2248230793
113	0.2240335625
114	0.2237106659
115	0.2234932704
116	0.2232680234
117	0.2228957758
118	0.2226071612
119	0.2224407008
120	0.2218503813
121	0.2212411216
122	0.220729931
123	0.2203366227
124	0.22006144
125	0.219708428
126	0.2195699995
127	0.2194522227
128	0.2193397696
129	0.2188719618
130	0.2185196524
131	0.2182793646
132	0.2180897813
133	0.2179042399
134	0.2173713328
135	0.2168579768
136	0.2163229036
137	0.2161962077
138	0.2160867168
139	0.2158411215
140	0.2155405649
141	0.2152731499
142	0.2151194069
143	0.215062953
144	0.2147479883
145	0.2146842654
146	0.2144208855
147	0.214347868
148	0.2140953005
149	0.213821597
150	0.2136713059
151	0.213496394
152	0.2134418499
153	0.2132299688
154	0.2127475968
155	0.2126403427
156	0.2124890686
157	0.2120419809
158	0.2117170814
159	0.2115788381
160	0.2115286565
161	0.2113356284
162	0.2112271062
163	0.2111300527
164	0.2109617639
165	0.2107854463
166	0.2106919038
167	0.2104368902
168	0.209808135
169	0.2096995286
170	0.2095079119
171	0.2094637841
172	0.20929139
173	0.2091666925
174	0.2089369902
175	0.208841902
176	0.2085108715
177	0.2081792993
178	0.2078743268
179	0.2077361885
180	0.2074580935
181	0.2072430593
182	0.2072331199
183	0.2071765286
184	0.2070976213
185	0.2067448501
186	0.2065656133
187	0.2063723678
188	0.2061229536
189	0.2059464206
190	0.2056348924
191	0.205344392
192	0.2049973346
193	0.2048921087
194	0.2044822469
195	0.2042085641
196	0.2040967482
197	0.2039913881
198	0.2038280941
199	0.2037734461
200	0.2036473636
201	0.2036244588
202	0.2031661158
203	0.203059882
204	0.2028836998
205	0.2028249262
206	0.2027649247
207	0.2026117662
208	0.2025542363
209	0.2024106702
210	0.202299101
211	0.2022027778
212	0.2021944057
