iter	Passed	Remaining
0	0	474
1	1	475
2	1	459
3	2	450
4	3	423
5	3	433
6	4	436
7	4	410
8	5	410
9	5	409
10	6	407
11	7	407
12	7	387
13	7	371
14	8	373
15	8	375
16	9	381
17	10	385
18	10	386
19	11	387
20	11	382
21	12	374
22	12	375
23	13	366
24	13	357
25	13	358
26	14	358
27	14	359
28	15	360
29	15	355
30	16	355
31	16	350
32	17	355
33	17	348
34	18	349
35	18	343
36	18	339
37	19	340
38	20	341
39	20	341
40	21	342
41	21	342
42	22	343
43	23	343
44	23	343
45	24	344
46	24	344
47	25	344
48	25	344
49	26	345
50	27	345
51	27	346
52	28	346
53	28	346
54	29	346
55	30	346
56	30	343
57	31	344
58	31	344
59	32	344
60	32	344
61	33	344
62	34	344
63	34	344
64	35	343
65	35	343
66	36	343
67	36	342
68	37	342
69	37	339
70	38	337
71	38	337
72	39	337
73	39	337
74	40	336
75	41	336
76	41	336
77	42	336
78	42	336
79	43	335
80	43	335
81	44	335
82	45	335
83	45	335
84	46	335
85	46	335
86	47	334
87	48	334
88	48	334
89	49	334
90	49	334
91	50	333
92	51	333
93	51	333
94	52	332
95	52	332
96	53	332
97	54	331
98	54	331
99	55	331
100	55	330
101	56	330
102	56	330
103	57	328
104	57	327
105	58	327
106	59	327
107	59	327
108	60	326
109	60	326
110	61	326
111	62	325
112	62	325
113	63	325
114	63	324
115	64	324
116	65	323
117	65	323
118	66	323
119	66	322
120	67	322
121	67	322
122	68	321
123	69	321
124	69	320
125	70	320
126	70	319
127	71	317
128	71	317
129	72	316
130	72	316
131	73	315
132	74	315
133	74	315
134	75	315
135	75	314
136	76	314
137	77	313
138	77	313
139	78	312
140	78	312
141	79	311
142	79	311
143	80	310
144	81	310
145	81	310
146	82	309
147	82	309
148	83	308
149	84	308
150	84	307
151	85	307
152	85	306
153	86	306
154	87	305
155	87	305
156	88	305
157	88	304
158	89	304
159	90	303
160	90	303
161	91	302
162	91	302
163	92	301
164	92	301
165	93	300
166	94	300
167	94	299
168	95	299
169	95	298
170	96	298
171	97	298
172	97	297
173	98	297
174	98	296
175	99	296
176	100	295
177	100	295
178	101	294
179	101	294
180	102	293
181	103	293
182	103	292
183	104	292
184	104	292
185	105	291
186	106	291
187	106	290
188	107	290
189	107	289
190	108	288
191	109	288
192	109	287
193	110	287
194	110	286
195	111	286
196	111	285
197	112	285
198	113	284
199	113	284
200	114	283
201	114	283
202	115	282
203	116	282
204	116	281
205	117	281
206	117	280
207	118	280
208	119	279
209	119	279
210	120	279
211	121	278
212	121	278
213	122	277
214	122	277
215	123	276
216	123	275
217	124	275
218	125	274
219	125	274
220	126	273
221	126	273
222	127	272
223	128	272
224	128	271
225	129	271
226	129	270
227	130	269
228	131	270
229	132	269
230	132	269
231	133	268
232	133	268
233	134	267
234	135	267
235	135	266
236	136	266
237	136	265
238	137	265
239	138	264
240	138	264
241	139	263
242	139	262
243	140	262
244	141	261
245	141	261
246	142	260
247	142	260
248	143	259
249	143	259
250	144	258
251	145	258
252	145	257
253	146	256
254	146	256
